UserID,Timestamp,Event,SubscriptionType,Description
User_317,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_315,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_313,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_311,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_309,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_307,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_305,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_303,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_301,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_299,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_297,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_295,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_293,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_291,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_289,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_287,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_285,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_283,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_281,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_279,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_277,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_275,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_273,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_271,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_269,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_267,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_265,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_263,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_261,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_259,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_257,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_255,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_253,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_251,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_249,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_247,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_245,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_243,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_241,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_239,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_237,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_235,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_233,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_231,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_229,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_227,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_225,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_223,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_221,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_219,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_217,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_215,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_213,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_211,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_209,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_207,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_205,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_203,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_201,2023-01-01,Subscription,Basic,User subscribed to the Basic plan
User_199,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_197,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_195,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_193,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_191,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_189,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_187,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_185,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_183,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_181,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_179,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_177,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_175,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_173,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_171,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_169,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_167,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_165,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_163,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_161,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_159,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_157,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_155,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_153,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_151,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_149,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_147,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_145,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_143,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_141,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_139,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_137,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_135,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_133,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_131,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_129,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_127,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_125,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_123,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_121,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_119,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_117,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_115,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_113,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_111,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_109,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_107,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_105,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_103,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_101,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_99,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_97,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_95,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_93,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_91,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_89,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_87,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_85,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_83,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_81,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_79,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_77,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_75,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_73,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_71,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_69,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_67,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_65,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_63,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_61,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_59,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_57,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_55,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_53,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_51,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_49,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_47,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_45,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_43,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_41,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_39,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_37,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_35,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_33,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_31,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_29,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_27,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_25,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_23,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_21,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_19,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_17,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_15,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_13,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_11,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_9,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_7,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_5,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_3,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_1,2023-01-02,Subscription,Basic,User subscribed to the Basic plan
User_245,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_172,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_291,2023-01-03,Subscription,Free,User subscribed to the Free plan
User_155,2023-01-03,Subscription,Free,User subscribed to the Free plan
User_227,2023-01-03,Subscription,Premium,User subscribed to the Premium plan
User_221,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_77,2023-01-03,Subscription,Free,User subscribed to the Free plan
User_26,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_130,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_106,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_98,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_186,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_168,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_16,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_57,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_19,2023-01-03,Subscription,Free,User subscribed to the Free plan
User_370,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_302,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_60,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_205,2023-01-03,Subscription,Premium,User subscribed to the Premium plan
User_312,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_260,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_115,2023-01-03,Subscription,Free,User subscribed to the Free plan
User_51,2023-01-03,Subscription,Free,User subscribed to the Free plan
User_215,2023-01-03,Subscription,Premium,User subscribed to the Premium plan
User_243,2023-01-03,Subscription,Premium,User subscribed to the Premium plan
User_89,2023-01-03,Subscription,Premium,User subscribed to the Premium plan
User_116,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_80,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_25,2023-01-03,Subscription,Free,User subscribed to the Free plan
User_341,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_36,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_179,2023-01-03,Subscription,Free,User subscribed to the Free plan
User_291,2023-01-03,Subscription,Premium,User subscribed to the Premium plan
User_75,2023-01-03,Subscription,Premium,User subscribed to the Premium plan
User_187,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_71,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_319,2023-01-03,Subscription,Free,User subscribed to the Free plan
User_283,2023-01-03,Subscription,Premium,User subscribed to the Premium plan
User_307,2023-01-03,Subscription,Free,User subscribed to the Free plan
User_253,2023-01-03,Subscription,Free,User subscribed to the Free plan
User_394,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_264,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_165,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_63,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_270,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_369,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_106,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_85,2023-01-03,Subscription,Premium,User subscribed to the Premium plan
User_285,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_16,2023-01-03,Subscription,Premium,User subscribed to the Premium plan
User_328,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_262,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_174,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_50,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_170,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_6,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_246,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_365,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_296,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_45,2023-01-03,Subscription,Free,User subscribed to the Free plan
User_260,2023-01-03,Subscription,Premium,User subscribed to the Premium plan
User_201,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_204,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_248,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_320,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_297,2023-01-03,Subscription,Free,User subscribed to the Free plan
User_237,2023-01-03,Subscription,Free,User subscribed to the Free plan
User_110,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_101,2023-01-03,Subscription,Free,User subscribed to the Free plan
User_86,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_59,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_165,2023-01-03,Subscription,Free,User subscribed to the Free plan
User_154,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_62,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_116,2023-01-03,Subscription,Premium,User subscribed to the Premium plan
User_177,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_230,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_45,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_398,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_65,2023-01-03,Subscription,Free,User subscribed to the Free plan
User_86,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_269,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_216,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_310,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_283,2023-01-03,Subscription,Premium,User subscribed to the Premium plan
User_274,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_39,2023-01-03,Subscription,Premium,User subscribed to the Premium plan
User_7,2023-01-03,Subscription,Free,User subscribed to the Free plan
User_56,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_109,2023-01-03,Subscription,Free,User subscribed to the Free plan
User_83,2023-01-03,Subscription,Premium,User subscribed to the Premium plan
User_294,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_400,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_63,2023-01-03,Subscription,Free,User subscribed to the Free plan
User_227,2023-01-03,Subscription,Premium,User subscribed to the Premium plan
User_14,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_155,2023-01-03,Subscription,Free,User subscribed to the Free plan
User_192,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_117,2023-01-03,Subscription,Basic,User subscribed to the Basic plan
User_219,2023-01-04,Subscription,Free,User subscribed to the Free plan
User_366,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_145,2023-01-04,Subscription,Premium,User subscribed to the Premium plan
User_6,2023-01-04,Subscription,Premium,User subscribed to the Premium plan
User_276,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_164,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_206,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_40,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_107,2023-01-04,Subscription,Premium,User subscribed to the Premium plan
User_130,2023-01-04,Subscription,Premium,User subscribed to the Premium plan
User_259,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_79,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_321,2023-01-04,Subscription,Premium,User subscribed to the Premium plan
User_384,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_233,2023-01-04,Subscription,Premium,User subscribed to the Premium plan
User_347,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_264,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_265,2023-01-04,Subscription,Free,User subscribed to the Free plan
User_186,2023-01-04,Subscription,Free,User subscribed to the Free plan
User_151,2023-01-04,Subscription,Premium,User subscribed to the Premium plan
User_183,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_259,2023-01-04,Subscription,Free,User subscribed to the Free plan
User_242,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_166,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_286,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_247,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_89,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_209,2023-01-04,Subscription,Free,User subscribed to the Free plan
User_160,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_101,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_160,2023-01-04,Subscription,Free,User subscribed to the Free plan
User_113,2023-01-04,Subscription,Premium,User subscribed to the Premium plan
User_367,2023-01-04,Subscription,Free,User subscribed to the Free plan
User_367,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_282,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_39,2023-01-04,Subscription,Free,User subscribed to the Free plan
User_202,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_297,2023-01-04,Subscription,Free,User subscribed to the Free plan
User_172,2023-01-04,Subscription,Premium,User subscribed to the Premium plan
User_53,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_352,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_197,2023-01-04,Subscription,Premium,User subscribed to the Premium plan
User_79,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_17,2023-01-04,Subscription,Free,User subscribed to the Free plan
User_204,2023-01-04,Subscription,Premium,User subscribed to the Premium plan
User_274,2023-01-04,Subscription,Premium,User subscribed to the Premium plan
User_142,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_210,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_131,2023-01-04,Subscription,Premium,User subscribed to the Premium plan
User_319,2023-01-04,Subscription,Free,User subscribed to the Free plan
User_129,2023-01-04,Subscription,Free,User subscribed to the Free plan
User_154,2023-01-04,Subscription,Free,User subscribed to the Free plan
User_235,2023-01-04,Subscription,Premium,User subscribed to the Premium plan
User_363,2023-01-04,Subscription,Premium,User subscribed to the Premium plan
User_61,2023-01-04,Subscription,Free,User subscribed to the Free plan
User_5,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_262,2023-01-04,Subscription,Free,User subscribed to the Free plan
User_43,2023-01-04,Subscription,Free,User subscribed to the Free plan
User_300,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_34,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_352,2023-01-04,Subscription,Free,User subscribed to the Free plan
User_131,2023-01-04,Subscription,Free,User subscribed to the Free plan
User_382,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_361,2023-01-04,Subscription,Free,User subscribed to the Free plan
User_206,2023-01-04,Subscription,Free,User subscribed to the Free plan
User_360,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_232,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_1,2023-01-04,Subscription,Free,User subscribed to the Free plan
User_293,2023-01-04,Subscription,Free,User subscribed to the Free plan
User_299,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_265,2023-01-04,Subscription,Free,User subscribed to the Free plan
User_356,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_153,2023-01-04,Subscription,Premium,User subscribed to the Premium plan
User_289,2023-01-04,Subscription,Premium,User subscribed to the Premium plan
User_274,2023-01-04,Subscription,Premium,User subscribed to the Premium plan
User_82,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_396,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_2,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_294,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_181,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_188,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_130,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_355,2023-01-04,Subscription,Free,User subscribed to the Free plan
User_330,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_70,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_236,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_83,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_195,2023-01-04,Subscription,Premium,User subscribed to the Premium plan
User_207,2023-01-04,Subscription,Free,User subscribed to the Free plan
User_54,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_321,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_250,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_202,2023-01-04,Subscription,Free,User subscribed to the Free plan
User_223,2023-01-04,Subscription,Basic,User subscribed to the Basic plan
User_77,2023-01-04,Subscription,Free,User subscribed to the Free plan
User_289,2023-01-04,Subscription,Free,User subscribed to the Free plan
User_236,2023-01-04,Subscription,Free,User subscribed to the Free plan
User_225,2023-01-04,Subscription,Free,User subscribed to the Free plan
User_75,2023-01-04,Subscription,Premium,User subscribed to the Premium plan
User_351,2023-01-04,Subscription,Free,User subscribed to the Free plan
User_94,2023-01-05,Subscription,Basic,User subscribed to the Basic plan
User_235,2023-01-05,Subscription,Premium,User subscribed to the Premium plan
User_207,2023-01-05,Subscription,Premium,User subscribed to the Premium plan
User_198,2023-01-05,Subscription,Basic,User subscribed to the Basic plan
User_40,2023-01-05,Subscription,Basic,User subscribed to the Basic plan
User_390,2023-01-05,Subscription,Basic,User subscribed to the Basic plan
User_84,2023-01-05,Subscription,Basic,User subscribed to the Basic plan
User_227,2023-01-05,Subscription,Premium,User subscribed to the Premium plan
User_62,2023-01-05,Subscription,Premium,User subscribed to the Premium plan
User_67,2023-01-05,Subscription,Premium,User subscribed to the Premium plan
User_254,2023-01-05,Subscription,Basic,User subscribed to the Basic plan
User_218,2023-01-05,Subscription,Basic,User subscribed to the Basic plan
User_325,2023-01-05,Subscription,Free,User subscribed to the Free plan
User_272,2023-01-05,Subscription,Basic,User subscribed to the Basic plan
User_154,2023-01-05,Subscription,Basic,User subscribed to the Basic plan
User_371,2023-01-05,Subscription,Premium,User subscribed to the Premium plan
User_236,2023-01-05,Subscription,Basic,User subscribed to the Basic plan
User_367,2023-01-05,Subscription,Basic,User subscribed to the Basic plan
User_340,2023-01-05,Subscription,Basic,User subscribed to the Basic plan
User_376,2023-01-05,Subscription,Basic,User subscribed to the Basic plan
User_186,2023-01-05,Subscription,Free,User subscribed to the Free plan
User_354,2023-01-05,Subscription,Basic,User subscribed to the Basic plan
User_50,2023-01-05,Subscription,Premium,User subscribed to the Premium plan
User_106,2023-01-05,Subscription,Free,User subscribed to the Free plan
User_396,2023-01-05,Subscription,Basic,User subscribed to the Basic plan
User_217,2023-01-05,Subscription,Basic,User subscribed to the Basic plan
